Row Labels,Count of movie_title,,,,,,,,,,,,,,,,,,,,,,,,,
Clint Eastwood,20,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Scorsese,20,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Spielberg,26,,,,,,,,,,,,,,,,,,,,,,,,,
Woody Allen,22,,,,,,,,,,,,,,,,,,,,,,,,,
(blank),104,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,192,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,                                                               
