director_name,avg_score
"Christopher Nolan",8.414285714285715
"S.S. Rajamouli",8.4
"Lee Unkrich",8.3
"Pete Docter",8.233333333333334
"Hideaki Anno",8.2
"Quentin Tarantino",8.16
"James Gunn",8.1
"Alejandro G. IÃ±Ã¡rritu",8.1
"Mel Gibson",8.1
"Tim Miller",8.1
"Andrei Tarkovsky",8.1
"Denis Villeneuve",8.1
"Peter Jackson",7.957142857142857
"Joss Whedon",7.925
"Don Hall",7.9
"Gabriele Muccino",7.85
"Alfonso CuarÃ³n",7.833333333333333
"Martin Scorsese",7.800000000000001
"Nathan Greno",7.8
"Rich Moore",7.8
"Bob Fosse",7.8
"Jacques Perrin",7.8
"Deepa Mehta",7.8
"James Cameron",7.779999999999999
"Dean DeBlois",7.766666666666667
"Matthew Vaughn",7.75
"Peter Weir",7.75
"Andrew Stanton",7.733333333333333
"Frank Darabont",7.7
"David Cronenberg",7.7
"Ted Kotcheff",7.7
"Ryan Coogler",7.7
"Mark Osborne",7.699999999999999
"David Fincher",7.655555555555555
"Ben Affleck",7.65
"Matt Reeves",7.6
"Chris Buck",7.6
"Rupert Wyatt",7.6
"Pierre Coffin",7.6
"Tom Hooper",7.6
"Neil Jordan",7.6
"Bennett Miller",7.6
"J.A. Bayona",7.6
"Norman Jewison",7.6
"Brad Bird",7.58
"Paul Greengrass",7.5600000000000005
"Richard Curtis",7.550000000000001
"Wes Anderson",7.55
"Paul Thomas Anderson",7.55
"James Wan",7.5
"Yimou Zhang",7.5
"Tony Bancroft",7.5
"Edgar Wright",7.5
"Stanley Kubrick",7.5
"Norman Ferguson",7.5
"Guy Ritchie",7.466666666666666
"J.J. Abrams",7.449999999999999
"David Silverman",7.4
"Jean-Pierre Jeunet",7.4
"Milos Forman",7.4
"Julie Taymor",7.4
"Tobe Hooper",7.4
"Roger Allers",7.35
"Steven Spielberg",7.344444444444444
"Sam Mendes",7.339999999999999
"Roman Polanski",7.325
"Dan Scanlon",7.3
"Duncan Jones",7.3
"Jennifer Yuh Nelson",7.3
"Peter Ramsey",7.3
"Tom McGrath",7.3
"David Mamet",7.3
"Anthony Minghella",7.3
"James Algar",7.3
"Kenny Ortega",7.3
"James McTeigue",7.3
"Jorge R. GutiÃ©rrez",7.3
"Brad Furman",7.3
"Gus Van Sant",7.3
"Lee Daniels",7.3
"Michael Ritchie",7.3
"Jean-Marc VallÃ©e",7.3
"Phil Lord",7.2749999999999995
"Jean-Jacques Annaud",7.233333333333333
"Anthony Russo",7.2
"Shane Black",7.2
"Mark Andrews",7.2
"Christopher McQuarrie",7.2
"Alessandro Carloni",7.2
"Alejandro AmenÃ¡bar",7.2
"Angelina Jolie Pitt",7.2
"Paul King",7.2
"Thomas Carter",7.2
"Melville Shavelson",7.2
"John G. Avildsen",7.2
"Wilson Yip",7.2
"Jon Favreau",7.199999999999999
"Robert Zemeckis",7.1800000000000015
"Francis Ford Coppola",7.175000000000001
"Baz Luhrmann",7.166666666666667
"Tom Tykwer",7.166666666666667
"Brian Helgeland",7.166666666666667
"Andrew Adamson",7.15
"Edward Zwick",7.15
"Terrence Malick",7.15
"John Lasseter",7.1499999999999995
"Ridley Scott",7.145454545454545
"Zack Snyder",7.1000000000000005
"Bryan Singer",7.1000000000000005
"Gary Ross",7.1000000000000005
"Spike Lee",7.1000000000000005
"Doug Walker",7.1
"Ron Clements",7.1
"Sarah Smith",7.1
"Kevin Macdonald",7.1
"George Nolfi",7.1
"Peter Ho-Sun Chan",7.1
"Peter Landesman",7.1
"Steven Soderbergh",7.085714285714286
"Michael Mann",7.083333333333333
"John Lee Hancock",7.066666666666666
"David Yates",7.050000000000001
"Kathryn Bigelow",7.050000000000001
"Gore Verbinski",7.05
"Antoine Fuqua",7.040000000000001
"Doug Liman",7.039999999999999
"Colin Trevorrow",7
"Robert Stromberg",7
"Francis Lawrence",7
"Len Wiseman",7
"Kelly Asbury",7
"Henry Jaglom",7
"Vincent Ward",7
"Glenn Ficarra",7
"Brenda Chapman",7
"Chris Butler",7
"David O. Russell",7
"Scott Cooper",7
"Stephen Gaghan",7
"Andrew Niccol",7
"Joseph L. Mankiewicz",7
"Greg Mottola",7
"Joon-ho Bong",7
"Curtis Hanson",6.9799999999999995
"Ethan Coen",6.966666666666666
"Mike Newell",6.959999999999999
"Matt Birch",6.95
"Danny Boyle",6.949999999999999
"Justin Lin",6.933333333333334
"George Lucas",6.933333333333334
"Pete Travis",6.933333333333333
"Ron Howard",6.927272727272726
"Joseph Kosinski",6.9
"Byron Howard",6.9
"Steve Martino",6.9
"Genndy Tartakovsky",6.9
"George A. Romero",6.9
"Baltasar KormÃ¡kur",6.9
"Rod Lurie",6.9
"Alan Parker",6.9
"Stephen Daldry",6.9
"Richard Shepard",6.9
"Michael Tollin",6.9
"Kevin Reynolds",6.8999999999999995
"Randall Wallace",6.8999999999999995
"Taylor Hackford",6.8999999999999995
"Clint Eastwood",6.881818181818181
"Guillermo del Toro",6.875
"Chris Wedge",6.866666666666667
"Marc Forster",6.85
"Marc Webb",6.85
"Alan Taylor",6.85
"Ang Lee",6.85
"Gary Trousdale",6.85
"Don Bluth",6.85
"Peter Lord",6.85
"Albert Hughes",6.833333333333333
"Cameron Crowe",6.833333333333333
"Carlos Saldanha",6.824999999999999
"Lana Wachowski",6.8199999999999985
"Peter Sohn",6.8
"James Mangold",6.8
"Spike Jonze",6.8
"Ash Brannon",6.8
"Yarrow Cheney",6.8
"Craig Gillespie",6.8
"Graham Annable",6.8
"Joel Coen",6.8
"Robert Lorenz",6.8
"Rawson Marshall Thurber",6.8
"Garth Jennings",6.8
"Sean Penn",6.8
"Michael Cimino",6.8
"Alejandro Agresti",6.8
"Christian Alvart",6.8
"Scott Hicks",6.8
"Lasse HallstrÃ¶m",6.8
"Tim Burton",6.777777777777777
"Eric Darnell",6.760000000000001
"Nancy Meyers",6.760000000000001
"Tim Johnson",6.75
"Neill Blomkamp",6.75
"Todd Phillips",6.75
"Sam Raimi",6.74
"Peter Berg",6.74
"David Ayer",6.733333333333333
"Kenneth Branagh",6.733333333333333
"Louis Leterrier",6.725
"Gavin Hood",6.7
"Dean Parisot",6.7
"Chris Columbus",6.7
"Neil Burger",6.7
"F. Gary Gray",6.7
"Rob Reiner",6.7
"David Frankel",6.7
"Ruben Fleischer",6.7
"Patrick Gilmore",6.7
"John Dahl",6.7
"Shekhar Kapur",6.7
"Adrian Lyne",6.7
"Jon Hurwitz",6.7
"Justin Chadwick",6.7
"Pat O'Connor",6.7
"Tony Scott",6.688888888888888
"Oliver Stone",6.675000000000001
"Peyton Reed",6.666666666666667
"David Dobkin",6.666666666666667
"Roger Michell",6.666666666666667
"John Glen",6.65
"Charles Martin Smith",6.65
"James Bobin",6.633333333333333
"Adam McKay",6.625000000000001
"Luc Besson",6.625
"Phillip Noyce",6.62
"Michael Bay",6.610000000000001
"Gary Fleder",6.6000000000000005
"John Carpenter",6.6000000000000005
"Alex Proyas",6.6
"Daniel Espinosa",6.6
"Florent-Emilio Siri",6.6
"Tony Bill",6.6
"Mike Gabriel",6.6
"Matthew O'Callaghan",6.6
"Christophe Gans",6.6
"David Lynch",6.6
