genres,movie_count
Action|Adventure|Sci-Fi,44
Comedy|Romance,39
Comedy,35
Action|Crime|Thriller,31
Comedy|Drama|Romance,31
Action|Adventure|Thriller,29
Crime|Drama|Thriller,27
Action|Adventure|Sci-Fi|Thriller,26
Adventure|Animation|Comedy|Family|Fantasy,24
Action|Adventure|Fantasy,22
Action|Crime|Drama|Thriller,21
Drama|Romance,20
Comedy|Drama,20
Adventure|Animation|Comedy|Family,19
Crime|Drama|Mystery|Thriller,19
Action|Thriller,16
Adventure|Family|Fantasy,14
Action|Sci-Fi,14
Action|Crime|Drama|Mystery|Thriller,14
Comedy|Family|Fantasy,13
Action|Comedy|Crime,13
Action|Adventure|Drama|Thriller,12
Comedy|Crime,12
Comedy|Family,12
Drama,12
Action|Drama|Thriller,11
Drama|Mystery|Thriller,11
Action|Comedy|Crime|Thriller,10
Action|Sci-Fi|Thriller,10
Drama|Thriller,10
Adventure|Comedy|Family|Fantasy,9
Action|Adventure|Comedy,9
Biography|Drama|Sport,9
Drama|Mystery|Sci-Fi|Thriller,9
Crime|Mystery|Thriller,9
Drama|Fantasy|Romance,8
Action|Horror|Sci-Fi|Thriller,8
Action|Adventure|Fantasy|Sci-Fi,7
Action|Adventure|Fantasy|Sci-Fi|Thriller,7
Adventure|Animation|Comedy|Family|Sci-Fi,7
Mystery|Thriller,7
Action|Mystery|Thriller,7
Adventure|Sci-Fi|Thriller,7
Action|Drama|War,7
Crime|Thriller,7
Biography|Crime|Drama,7
Action|Adventure|Crime|Thriller,7
Action|Adventure,6
Action|Adventure|Drama|Fantasy,6
Adventure|Animation|Family|Fantasy,6
Animation|Comedy|Family|Fantasy,6
Action|Drama|Thriller|War,6
Drama|History|War,6
Drama|History|Thriller,6
Horror|Mystery|Thriller,6
Action|Adventure|Comedy|Family|Sci-Fi,6
Adventure|Family|Fantasy|Mystery,5
Action|Adventure|Family|Fantasy,5
Action|Adventure|Animation|Comedy|Family,5
Action|Adventure|Comedy|Thriller,5
Action|Crime|Mystery|Thriller,5
Action|Drama|Sci-Fi|Thriller,5
Biography|Drama,5
Adventure|Comedy|Sci-Fi,5
Action|Comedy|Sci-Fi,5
Action|Adventure|Fantasy|Thriller,5
Crime|Drama,5
Comedy|Fantasy|Romance,5
Drama|Sport,5
Action|Horror|Sci-Fi,5
Comedy|Crime|Romance,5
Biography|Drama|History|Romance,5
Action|Adventure|Romance,4
Adventure|Fantasy,4
Action|Adventure|Drama|Romance,4
Comedy|Fantasy|Horror,4
Action|Adventure|Animation|Comedy|Family|Fantasy,4
Action|Adventure|Drama|History|War,4
Adventure|Drama|Fantasy|Romance,4
Action|Adventure|Comedy|Crime,4
Action|Mystery|Sci-Fi|Thriller,4
Action|Comedy,4
Comedy|Drama|Fantasy|Romance,4
Drama|Sci-Fi|Thriller,4
Comedy|Fantasy,4
Drama|Musical|Romance,4
Drama|Horror|Sci-Fi|Thriller,4
Drama|War,4
Comedy|Sport,4
Horror|Sci-Fi|Thriller,4
Comedy|Drama|Romance|Sport,4
Horror|Mystery,4
Horror,4
Action|Adventure|Western,3
Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,3
Action|Adventure|Fantasy|Romance,3
Adventure|Animation|Comedy|Family|Sport,3
Action|Adventure|Comedy|Sci-Fi,3
Adventure|Drama|Sci-Fi,3
Action|Drama|History|War,3
Action|Adventure|Drama,3
Adventure|Drama|Romance|War,3
Action|Animation|Comedy|Family|Sci-Fi,3
Action|Comedy|Fantasy,3
Action,3
Action|Fantasy|Thriller,3
Adventure|Mystery|Sci-Fi,3
Action|Crime|Sci-Fi|Thriller,3
Action|Comedy|Romance,3
Adventure|Drama|Sci-Fi|Thriller,3
Action|Adventure|Mystery|Sci-Fi|Thriller,3
Action|Crime|Romance|Thriller,3
Action|Adventure|Romance|Sci-Fi|Thriller,3
Comedy|Romance|Sci-Fi,3
Comedy|Family|Fantasy|Romance,3
Animation|Comedy|Family,3
Action|Crime|Fantasy|Thriller,3
Biography|Drama|History|War,3
Action|Adventure|Horror|Sci-Fi,3
Action|Fantasy|Horror,3
Action|Comedy|Crime|Drama|Thriller,3
Biography|Drama|Thriller,3
Comedy|Romance|Sport,3
Biography|Comedy|Drama,3
Crime|Drama|Romance|Thriller,3
Comedy|Crime|Drama|Thriller,3
Adventure|Comedy|Drama,3
Action|Adventure|Drama|History,2
Action|Adventure|Horror|Sci-Fi|Thriller,2
Adventure|Animation|Family|Sci-Fi,2
Action|Adventure|Animation|Comedy|Family|Sci-Fi,2
Adventure|Drama|Family|Fantasy,2
Action|Adventure|Drama|Sci-Fi,2
Action|Adventure|Romance|Sci-Fi,2
Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,2
Action|Adventure|Drama|Horror|Sci-Fi,2
Action|Drama|History|Romance|War,2
Adventure|Animation|Comedy|Drama|Family,2
Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2
Action|Comedy|Fantasy|Sci-Fi,2
Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2
Action|Fantasy,2
Adventure|Animation|Comedy|Family|Musical,2
Action|Adventure|Crime|Mystery|Thriller,2
Action|Adventure|History,2
Adventure|Drama|Fantasy,2
Action|Adventure|Mystery|Sci-Fi,2
Action|Comedy|Crime|Romance|Thriller,2
Action|Drama|Fantasy|War,2
Action|Comedy|Thriller,2
Adventure|Drama|Thriller,2
Animation|Comedy|Family|Sci-Fi,2
Adventure|Drama|History,2
Adventure|Animation|Comedy|Family|Fantasy|Music,2
Drama|History|Thriller|War,2
Comedy|Drama|Sci-Fi,2
Adventure|Drama|Romance,2
Adventure|Comedy|Family,2
Action|Adventure|Comedy|Fantasy,2
Adventure|Comedy|Drama|Family|Fantasy,2
Action|Comedy|Family|Fantasy,2
Comedy|Family|Sci-Fi,2
Fantasy|Horror|Mystery|Thriller,2
Comedy|Family|Romance,2
Sci-Fi|Thriller,2
Comedy|Crime|Drama|Romance,2
Action|Comedy|Sport,2
Action|Drama|Sport,2
Adventure|Drama|Family,2
Drama|Mystery|Romance|Thriller,2
Adventure|Animation|Comedy|Family|Fantasy|Romance,2
